feature,ufi,siteid,sampleid,well_name,latitude,longitude,dscription,lith_group,unitname,supergroup,group,formation,member,samp_type,samp_depth,sample_mass,magsus_ind,magsus_med,magsus_ave,magsus_max,magsus_min,magsus_std,surf_type,magsus_cor,magsus_mul,density_db,density_wb,density_g,porosity_a,porosity_t,,,,
RPROP,33,,TAN99AD130,,-20.1491051,130.0727763,quartzite,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,1578.30,9800,,,,,,irregular_surface,no,,2.80,2.81,2.81,0.37,
RPROP,34,,tan99ajc158,,-20.6799627,130.2127068,silt,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,743.30,0,,,,,,irregular_surface,no,,2.64,2.64,2.64,0.04,
RPROP,35,,tan99ajc160,,-20.7008955,130.1906940,chert,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,2553.90,145,,,,,,irregular_surface,no,,2.53,2.58,2.66,4.71,
RPROP,36,,tan99ajc169,,-20.6608707,130.1222579,siltstone,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,637.90,0,,,,,,irregular_surface,no,,2.28,2.36,2.46,7.40,
RPROP,37,,tan99ajc4,,-19.8544423,129.3451716,sediment,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,836.30,25,,,,,,irregular_surface,no,,2.54,2.65,2.85,10.76,
RPROP,38,,tan99mh333,,-19.8112957,129.3032760,chert,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,511.10,104,,,,,,irregular_surface,no,,3.06,3.13,3.29,7.06,
RPROP,39,,tan99mh37,,-20.1448377,129.6278584,greywacke,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,262.80,0,,,,,,irregular_surface,no,,2.62,2.66,2.72,3.78,
RPROP,40,,tan99mh379,,-19.8471303,129.3364172,arenite,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,hand_sample,,821.00,88,,,,,,irregular_surface,no,,2.78,2.79,2.80,0.44,
RPROP,41,,tan99mh411,,-20.3523381,130.5468740,,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,drill_core        ,,161.80,1,,,,,,cut_surface,no,,2.77,2.77,2.78,0.68,
RPROP,42,,tan99mh416,,-20.2979558,130.1281828,,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,drill_core        ,,196.60,0,,,,,,cut_surface,no,,2.65,2.66,2.68,0.94,
RPROP,43,,tan99mh417,,-20.3306333,129.4322329,,clastic sediment,Dead Bullock Formation,,Tanami Group,Dead Bullock Formation,,drill_core        ,,106.30,0,,,,,,cut_surface,no,,2.75,2.76,2.76,0.26,
